podName,nodeName,imageName,podStartTime,pullingTime,pulledTime,pullImageTotalTime
imagepullns/multi100m200testff4tv-c8cddd78f-8nvsq,cnnorth1a-pod16-common001-cna055,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:04,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-dtjlt,cnnorth1a-pod16-common001-cna070,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:07,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-vrnml,cnnorth1a-pod16-common001-cna056,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:08,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-jcf4r,cnnorth1a-pod16-common001-cna068,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-ttr7r,cnnorth1a-pod16-common001-cna067,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-v96b6,cnnorth1a-pod16-common001-cna060,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:04,2019-01-18 18:29:07,3000
imagepullns/multi100m200testbjmzl-5fd7448897-9kpxn,cnnorth1a-pod16-common001-cna056,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:05,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-lhnnv,cnnorth1a-pod16-common001-cna044,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:04,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-z5tmk,cnnorth1a-pod16-common001-cna058,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-zzh8c,cnnorth1a-pod16-common001-cna002,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:07,0001-01-01 00:00:00,0001-01-01 00:00:00,0
